geonameid,name,asciiname,lat,lon,feature_class,feature_code,country,admin1,admin2,population,timezone
8213341,Zamosh’ye,Zamosh'ye,55.5688,28.3086,P,PPL,BY,07,,0,Europe/Minsk
8213342,Podvin’ye,Podvin'ye,55.5459,28.2737,P,PPL,BY,07,,0,Europe/Minsk
8213343,Mazurino,Mazurino,55.543,28.291,P,PPL,BY,07,,0,Europe/Minsk
8213344,Gayevka,Gayevka,55.5189,28.2998,P,PPL,BY,07,,0,Europe/Minsk
8213345,Randari,Randari,55.5125,28.2887,P,PPL,BY,07,,0,Europe/Minsk
8213346,Tishino,Tishino,55.5013,28.2649,P,PPL,BY,07,,0,Europe/Minsk
8213347,Koptëvo,Koptevo,55.4878,28.2661,P,PPL,BY,07,,0,Europe/Minsk
8213348,Soroki,Soroki,55.4917,28.3119,P,PPL,BY,07,,0,Europe/Minsk
8213349,Kosarëvo,Kosarevo,55.4882,28.3324,P,PPL,BY,07,,0,Europe/Minsk
8213350,Gamovshchina,Gamovshchina,55.467,28.3016,P,PPL,BY,07,,0,Europe/Minsk
8213352,Korsyuki,Korsyuki,55.45,28.318,P,PPL,BY,07,,0,Europe/Minsk
8213353,Sergeychiki,Sergeychiki,55.4149,28.2667,P,PPL,BY,07,,0,Europe/Minsk
8213354,Svirki,Svirki,55.4049,28.2628,P,PPL,BY,07,,0,Europe/Minsk
8213355,Sel’tso Vtoroye,Sel'tso Vtoroye,55.3999,28.2667,P,PPL,BY,07,,0,Europe/Minsk
8213356,Shkilyaki,Shkilyaki,55.4014,28.3204,P,PPL,BY,07,,0,Europe/Minsk
8213357,Sel’tso,Sel'tso,55.3705,28.3063,P,PPL,BY,07,,0,Europe/Minsk
8213358,Petukhovshchina,Petukhovshchina,55.3708,28.2916,P,PPL,BY,07,,0,Europe/Minsk
8213359,Naumenki Pervyye,Naumenki Pervyye,55.352,28.2582,P,PPL,BY,07,,0,Europe/Minsk
8213360,Lomashy,Lomashy,55.3479,28.3254,P,PPL,BY,07,,0,Europe/Minsk
8213362,Motorino,Motorino,55.8999,28.3721,P,PPL,BY,07,,0,Europe/Minsk
8213363,Zales’ye,Zales'ye,55.8555,28.3782,P,PPL,BY,07,,0,Europe/Minsk
8213365,Leshnya,Leshnya,55.8384,28.347,P,PPL,BY,07,,0,Europe/Minsk
8213366,Krasnyy Oktyabr’,Krasnyy Oktyabr',55.8235,28.3427,P,PPLQ,BY,07,,0,Europe/Minsk
8213368,Novyy Stroy,Novyy Stroy,55.7285,28.3812,P,PPL,BY,07,,0,Europe/Minsk
8213369,Gornovo,Gornovo,55.7166,28.3681,P,PPL,BY,07,,0,Europe/Minsk
8213370,Klimawshchyna,Klimawshchyna,55.712,28.3382,P,PPL,BY,07,,0,Europe/Minsk
8213371,Gorovtsy,Gorovtsy,55.6937,28.3896,P,PPL,BY,07,,0,Europe/Minsk
8213372,Burakovo,Burakovo,55.684,28.3502,P,PPL,BY,07,,0,Europe/Minsk
8213373,Novyy Dvor,Novyy Dvor,55.6804,28.3613,P,PPL,BY,07,,0,Europe/Minsk
8213374,Zabor’ye,Zabor'ye,55.656,28.3708,P,PPL,BY,07,,0,Europe/Minsk
8213375,Rozhevshchina,Rozhevshchina,55.6438,28.3737,P,PPL,BY,07,,0,Europe/Minsk
8213376,Fëdorovo,Fedorovo,55.5965,28.3633,P,PPL,BY,07,,0,Europe/Minsk
8213377,Mëtly,Metly,55.5739,28.3852,P,PPL,BY,07,,0,Europe/Minsk
8213378,Zapol’ye,Zapol'ye,55.5667,28.3543,P,PPL,BY,07,,0,Europe/Minsk
8213379,Yakubenki,Yakubenki,55.5522,28.3812,P,PPL,BY,07,,0,Europe/Minsk
8213381,Rubanovo,Rubanovo,55.5416,28.3533,P,PPL,BY,07,,0,Europe/Minsk
8213382,Subovshchina,Subovshchina,55.5339,28.3608,P,PPL,BY,07,,0,Europe/Minsk
8213384,Avdeyevo,Avdeyevo,55.5017,28.3634,P,PPL,BY,07,,0,Europe/Minsk
8213385,Luzhayki,Luzhayki,55.4968,28.3335,P,PPL,BY,07,,0,Europe/Minsk
8213386,Sipovshchina,Sipovshchina,55.4751,28.3386,P,PPL,BY,07,,0,Europe/Minsk
8213388,Verkhniye Morozy,Verkhniye Morozy,55.4728,28.3766,P,PPL,BY,07,,0,Europe/Minsk
8213389,Nizhniye Morozy,Nizhniye Morozy,55.4732,28.3909,P,PPL,BY,07,,0,Europe/Minsk
8213390,Radkovshchina,Radkovshchina,55.4487,28.3875,P,PPL,BY,07,,0,Europe/Minsk
8213391,Pliski,Pliski,55.416,28.377,P,PPL,BY,07,,0,Europe/Minsk
8213392,Kevlino,Kevlino,55.4036,28.3597,P,PPL,BY,07,,0,Europe/Minsk
8213393,Selko,Selko,55.3911,28.3325,P,PPL,BY,07,,0,Europe/Minsk
8213394,Skorokhody,Skorokhody,55.3835,28.3333,P,PPL,BY,07,,0,Europe/Minsk
8213395,Levoye,Levoye,55.3759,28.3607,P,PPL,BY,07,,0,Europe/Minsk
8213396,Logovtsy,Logovtsy,55.3829,28.3652,P,PPL,BY,07,,0,Europe/Minsk
8213397,Katushenki,Katushenki,55.3759,28.3278,P,PPL,BY,07,,0,Europe/Minsk
8213400,Gatovshchina,Gatovshchina,55.346,28.354,P,PPL,BY,07,,0,Europe/Minsk
8213401,Bobriki,Bobriki,55.339,28.3439,P,PPL,BY,07,,0,Europe/Minsk
8213402,Grigorovtsy,Grigorovtsy,55.6899,28.3775,P,PPL,BY,07,,0,Europe/Minsk
8213403,Chernooki,Chernooki,55.992,28.4355,P,PPL,BY,07,,0,Europe/Minsk
8213407,Yermolino,Yermolino,55.8349,28.4122,P,PPL,BY,07,,0,Europe/Minsk
8213408,Dorozhilovo,Dorozhilovo,55.7448,28.4637,P,PPL,BY,07,,0,Europe/Minsk
8213409,Voytovo,Voytovo,55.7436,28.448,P,PPL,BY,07,,0,Europe/Minsk
8213410,Iskra,Iskra,55.7103,28.4158,P,PPL,BY,07,,0,Europe/Minsk
8213411,Konstantinovo,Konstantinovo,55.6692,28.4124,P,PPL,BY,07,,0,Europe/Minsk
8213412,Gramoshche,Gramoshche,55.6655,28.4563,P,PPL,BY,07,,0,Europe/Minsk
8213415,Kulikovo,Kulikovo,55.6058,28.4306,P,PPL,BY,07,,0,Europe/Minsk
8213416,Strubki,Strubki,55.6119,28.4504,P,PPL,BY,07,,0,Europe/Minsk
8213418,Mikulino,Mikulino,55.5793,28.4453,P,PPL,BY,07,,0,Europe/Minsk
8213419,Golyakovo,Golyakovo,55.5678,28.4319,P,PPL,BY,07,,0,Europe/Minsk
8213420,Raykovo,Raykovo,55.5589,28.4196,P,PPL,BY,07,,0,Europe/Minsk
8213421,Zavalynka,Zavalynka,55.536,28.4067,P,PPL,BY,07,,0,Europe/Minsk
8213422,Petrovtsy,Petrovtsy,55.5392,28.4385,P,PPL,BY,07,,0,Europe/Minsk
8213423,Ventsevoye,Ventsevoye,55.5327,28.4533,P,PPL,BY,07,,0,Europe/Minsk
8213425,Myshcheno,Myshcheno,55.4898,28.4529,P,PPL,BY,07,,0,Europe/Minsk
8213426,Dubrovka,Dubrovka,55.4597,28.458,P,PPL,BY,07,,0,Europe/Minsk
8213427,Kachanovo,Kachanovo,55.4497,28.4391,P,PPL,BY,07,,0,Europe/Minsk
8213428,Bykovshchina,Bykovshchina,55.436,28.405,P,PPL,BY,07,,0,Europe/Minsk
8213429,Voronovshchina,Voronovshchina,55.4315,28.4432,P,PPL,BY,07,,0,Europe/Minsk
8213430,Glinskiye,Glinskiye,55.4188,28.4186,P,PPL,BY,07,,0,Europe/Minsk
8213433,Zazër’ye,Zazer'ye,55.3968,28.4176,P,PPL,BY,07,,0,Europe/Minsk
8213434,Shlyubovshchina,Shlyubovshchina,55.3949,28.4369,P,PPL,BY,07,,0,Europe/Minsk
